epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5109.86,0.47312,0.45517,0.94919,0.95875,0.94553,0.97109,0.84896,0.55795,0.28277,0.95859,0.00012503,0.00012503,0.00012503
79,5175.49,0.46826,0.45228,0.94574,0.94898,0.95113,0.96953,0.85002,0.55346,0.28834,0.95665,0.000119823,0.000119823,0.000119823
80,5241.22,0.4707,0.43864,0.94698,0.94857,0.94318,0.96975,0.84905,0.55461,0.287,0.95531,0.000114615,0.000114615,0.000114615
81,5306.36,0.46191,0.43045,0.94799,0.9587,0.93245,0.96819,0.8432,0.55835,0.29937,0.96166,0.000109408,0.000109408,0.000109408
82,5371.69,0.46575,0.43069,0.94632,0.95314,0.93724,0.96967,0.84338,0.55936,0.29081,0.96167,0.000104201,0.000104201,0.000104201
83,5437.22,0.46088,0.43567,0.93967,0.95768,0.93822,0.97081,0.84887,0.5544,0.29132,0.95962,9.89932e-05,9.89932e-05,9.89932e-05
84,5502.41,0.45221,0.41966,0.93912,0.96921,0.93896,0.97169,0.85222,0.55533,0.28562,0.96153,9.37858e-05,9.37858e-05,9.37858e-05
85,5567.63,0.45998,0.44002,0.94404,0.94642,0.94786,0.97241,0.85011,0.55329,0.27873,0.96239,8.85784e-05,8.85784e-05,8.85784e-05
86,5633.21,0.45403,0.42487,0.93767,0.95146,0.94731,0.97123,0.84918,0.55209,0.28541,0.95952,8.3371e-05,8.3371e-05,8.3371e-05
87,5698.96,0.45226,0.41633,0.94391,0.96057,0.94396,0.9737,0.85509,0.54711,0.27694,0.95357,7.81636e-05,7.81636e-05,7.81636e-05
88,5764.59,0.45315,0.42076,0.94092,0.95792,0.95158,0.9718,0.85132,0.55108,0.27916,0.95536,7.29562e-05,7.29562e-05,7.29562e-05
89,5829.83,0.44554,0.4076,0.93386,0.94773,0.95395,0.97265,0.85156,0.5519,0.27593,0.95581,6.77488e-05,6.77488e-05,6.77488e-05
90,5895.58,0.44211,0.40798,0.93756,0.9532,0.94928,0.9725,0.85181,0.54987,0.2756,0.95616,6.25414e-05,6.25414e-05,6.25414e-05
91,5991.27,0.44848,0.24445,0.90426,0.95886,0.94674,0.97073,0.851,0.55372,0.28239,0.96075,5.7334e-05,5.7334e-05,5.7334e-05
92,6056.02,0.43676,0.24082,0.89478,0.9559,0.95039,0.97109,0.85154,0.5525,0.27802,0.96155,5.21266e-05,5.21266e-05,5.21266e-05
93,6120.94,0.43771,0.23802,0.89943,0.95394,0.94738,0.97139,0.85269,0.55445,0.27957,0.96148,4.69192e-05,4.69192e-05,4.69192e-05
94,6186.22,0.43521,0.23354,0.90055,0.95696,0.94844,0.97227,0.8529,0.55205,0.27342,0.96207,4.17118e-05,4.17118e-05,4.17118e-05
95,6250.87,0.42952,0.22946,0.89256,0.96218,0.94346,0.97258,0.85297,0.55242,0.27332,0.96109,3.65044e-05,3.65044e-05,3.65044e-05
96,6316.31,0.42954,0.23054,0.89758,0.9457,0.96192,0.97381,0.85454,0.55193,0.27368,0.9585,3.1297e-05,3.1297e-05,3.1297e-05
97,6381.35,0.42518,0.22952,0.8927,0.96191,0.94852,0.97364,0.85924,0.54885,0.26849,0.96001,2.60896e-05,2.60896e-05,2.60896e-05
98,6446.6,0.42511,0.22785,0.89307,0.962,0.94685,0.97364,0.8578,0.55086,0.26853,0.96151,2.08822e-05,2.08822e-05,2.08822e-05
99,6512.42,0.41898,0.22501,0.89177,0.95824,0.94977,0.97305,0.85591,0.55047,0.2706,0.96126,1.56748e-05,1.56748e-05,1.56748e-05
100,6577.15,0.41639,0.22122,0.88823,0.95335,0.95427,0.97349,0.85586,0.54981,0.26768,0.96076,1.04674e-05,1.04674e-05,1.04674e-05
