epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,286.481,0.46537,0.69201,0.96674,0.55392,0.62432,0.71215,0.59063,0.98136,1.69846,1.43668,0.000221594,0.000221594,0.000221594
73,290.141,0.46774,0.74508,0.94727,0.63751,0.58277,0.71093,0.60191,0.9198,1.67933,1.29153,0.000218842,0.000218842,0.000218842
74,293.72,0.47021,0.73232,0.95608,0.59685,0.62271,0.65523,0.53806,0.89478,2.04629,1.26512,0.000216089,0.000216089,0.000216089
75,297.403,0.45048,0.75633,0.94563,0.63414,0.5433,0.64396,0.52323,0.93753,2.19292,1.29228,0.000213337,0.000213337,0.000213337
76,301.115,0.4672,0.79456,0.97429,0.66866,0.61548,0.65566,0.52527,0.97618,1.92017,1.41361,0.000210585,0.000210585,0.000210585
77,304.804,0.44588,0.69625,0.95987,0.68167,0.65717,0.72014,0.57946,1.01133,1.72702,1.40279,0.000207833,0.000207833,0.000207833
78,308.697,0.42435,0.61646,0.93213,0.70483,0.6497,0.70985,0.57389,0.96136,1.70088,1.32732,0.000205081,0.000205081,0.000205081
79,312.343,0.43117,0.71216,0.94355,0.74744,0.63902,0.70451,0.56258,0.89299,1.90372,1.24601,0.000202328,0.000202328,0.000202328
80,316.001,0.43531,0.75059,0.95514,0.77287,0.65817,0.71737,0.559,0.95357,1.77805,1.33252,0.000199576,0.000199576,0.000199576
81,319.667,0.46685,0.72261,0.94247,0.70674,0.67272,0.76155,0.57654,0.96804,1.92285,1.33062,0.000196824,0.000196824,0.000196824
82,323.345,0.45643,0.69315,0.96334,0.71469,0.64819,0.73347,0.58227,0.94665,1.93937,1.30853,0.000194072,0.000194072,0.000194072
83,327.019,0.44715,0.66592,0.95157,0.70553,0.6278,0.74963,0.60425,0.93521,1.87554,1.30339,0.00019132,0.00019132,0.00019132
84,330.876,0.441,0.67744,0.94065,0.64889,0.64934,0.74156,0.63144,0.88599,1.64131,1.26388,0.000188567,0.000188567,0.000188567
85,334.512,0.45052,0.67677,0.95693,0.69244,0.65643,0.76914,0.62768,0.91039,1.5259,1.2838,0.000185815,0.000185815,0.000185815
86,338.455,0.43692,0.65212,0.93336,0.72345,0.66717,0.7703,0.63385,0.91211,1.48563,1.27739,0.000183063,0.000183063,0.000183063
87,342.232,0.41619,0.60915,0.9146,0.59896,0.77778,0.78772,0.64745,0.8702,1.61646,1.23332,0.000180311,0.000180311,0.000180311
88,346.027,0.40754,0.62701,0.93362,0.65155,0.72121,0.77442,0.64248,0.83547,1.68734,1.25747,0.000177559,0.000177559,0.000177559
89,349.944,0.4174,0.62779,0.93472,0.61765,0.82568,0.80657,0.65602,0.86414,1.62981,1.2538,0.000174806,0.000174806,0.000174806
90,353.829,0.4231,0.66301,0.94409,0.72153,0.77805,0.8468,0.67934,0.84799,1.6204,1.20312,0.000172054,0.000172054,0.000172054
91,357.537,0.39137,0.60641,0.94647,0.71855,0.76746,0.82976,0.66579,0.82679,1.63182,1.16351,0.000169302,0.000169302,0.000169302
92,361.245,0.41365,0.65426,0.95362,0.68056,0.71708,0.78903,0.62852,0.82913,1.54712,1.16232,0.00016655,0.00016655,0.00016655
93,364.871,0.39738,0.63783,0.93287,0.62735,0.7417,0.79658,0.64132,0.82351,1.56244,1.16333,0.000163798,0.000163798,0.000163798
94,368.475,0.39019,0.62992,0.93371,0.63663,0.72613,0.79266,0.64644,0.82658,1.53992,1.21758,0.000161045,0.000161045,0.000161045
95,372.104,0.37246,0.55132,0.92115,0.74855,0.67479,0.78199,0.64985,0.86893,1.61481,1.27855,0.000158293,0.000158293,0.000158293
96,375.817,0.38955,0.60891,0.91038,0.77141,0.75081,0.78658,0.65281,0.8856,1.69312,1.30102,0.000155541,0.000155541,0.000155541
97,379.55,0.37065,0.62206,0.92172,0.71005,0.76118,0.80958,0.67781,0.79018,1.71516,1.15524,0.000152789,0.000152789,0.000152789
98,383.472,0.41232,0.62959,0.93124,0.84223,0.69244,0.8336,0.67598,0.81128,1.68471,1.16917,0.000150037,0.000150037,0.000150037
99,387.337,0.40667,0.60723,0.9239,0.75263,0.72968,0.84746,0.68988,0.80163,1.68432,1.20327,0.000147284,0.000147284,0.000147284
100,391.283,0.39834,0.59863,0.9411,0.76253,0.76536,0.85711,0.70024,0.84649,1.76726,1.19789,0.000144532,0.000144532,0.000144532
101,395.136,0.386,0.60972,0.93167,0.75022,0.70901,0.82491,0.66172,0.82483,1.72231,1.24874,0.00014178,0.00014178,0.00014178
